Gene	Length
PLPP3	5272
RSPO1	3058
SNIP1	5718
RPS13P2	455
RPL23AP85	433
SLC2A3P2	1480
CPT2	10089
FOXJ3	6896
TUT4	16199
RAVER2	6070
GTF2F2P2	721
KLF18	3159
TACSTD2	1820
FOXD3	2562
RPS15AP7	405
GAPDHP51	1000
LINC01738	1461
PATJ-DT	427
LINC02791	1017
CYP4A43P	121
LINC00466	7361
NFIA-AS1	842
MAGOH	1363
DEPDC1-AS1	1247
LINC01707	6152
SKINT1L	2010
DLEU2L	3555
CDKN2C	3018
CAPZB	19094
LINC01771	567
ELOCP18	337
C1orf87	4422
ZSWIM5	6095
OMA1	3718
SLC35D1	6193
HIGD1AP11	280
LRP8	19668
TCEANC2	12168
KTI12	1708
LRRC42	2164
PIGPP2	458
GDI2P2	608
CYP46A4P	267
MRPS21P1	223
LINC01360	5534
LINC02567	448
KANK4	6814
DNAJB4	3702
USP1	3869
ERI3-IT1	619
RNFT1P2	757
AK5	6948
ADH5P2	1124
TXNP2	295
SPATA6	5938
GIPC2	3904
RPE65	2605
ANGPTL3	3371
GNG12	4715
KRT8P21	1491
DNAJC6	6958
AK4	7578
LEPROT	5237
RPL31P12	358
LINC02796	1382
NDUFS5P3	321
NFIA-AS2	6214
CACHD1	7022
EFCAB7	5704
LINC02238	819
MCOLN2	3442
ST6GALNAC5	6059
ATG4C	3116
LINC02797	1065
COX6CP13	226
LINC01359	7863
TXN2P1	493
PDE4B-AS1	456
ASB17	1080
COX6B1P7	235
RPL21P24	448
ADGRL4	5798
GJA9	2439
PRKACB-DT	1601
ATP6V0E1P4	242
PPIE	11124
PPP1R8P1	1044
CLCA1	3310
MTF1	7989
JAK1	12620
TTLL7	10547
GADD45A	1925
KDM4A	5184
TTLL7-IT1	2921
NEGR1-IT1	534
CAPNS1P1	633
LINC02777	2068
LDC1P	3555
ZNHIT6	6203
MGC27382	2481
MROH7	9088
LINC01763	1842
PTGFR	5764
LINC02801	4926
EEF1GP7	703
LMO4	5421
PRPF38A	5617
SYDE2	6405
PIGK	5514
HNRNPA3P12	1063
ST6GALNAC3	7212
PGBD4P8	562
MTND2P30	382
RPL7P10	739
PKN2-AS1	16635
LINC02792	1507
GUCA2A	597
USP24	12023
SLC25A6P3	879
PSAT1P3	1111
DOCK7	24890
NEXN-AS1	2292
NEGR1	13208
RPL36AP10	322
LINC01712	1841
FAAH	2724
KYAT3	2196
SHISAL2A	2684
HMGB1P18	619
CLCA4-AS1	3699
DNTTIP2	7518
HNRNPA1P64	922
ODF2L	10898
PTPRF	10712
DHCR24	6214
LINC02795	2885
PHKA1P1	621
CDCA4P2	718
COL24A1	9568
BSND	9761
GPX7	1692
SLC44A3	2869
ACTG1P21	1000
LINC01362	2155
NSRP1P1	1693
PKN2	6897
DAB1-AS1	4340
MTCO1P21	589
GBP1P1	2352
LINC01364	920
RPSAP65	595
CLCA4	3447
MIR4422HG	2568
ABCD3	7655
MROH7-TTC4	7090
ZMYND12	2181
ALG14	9641
ZZZ3	9008
YIPF1	2036
HNRNPCP9	859
KATNBL1P2	835
NFYC-AS1	1687
LDLRAD1	2376
GJB4	1444
TMEM125	2138
DMRTA2	3168
HIVEP3	14625
CLCA3P	3437
SH3GLB1	6881
PRAMEF8	1937
TM2D1	5516
HMGB1P45	653
SCP2	8253
FAF1-AS1	503
MTND4P11	1058
BCAR3	6919
MTCO3P21	643
TBCAP2	326
BARHL2	2044
LINC02607	6920
OAZ1P1	685
DMAP1	5599
AHCYL1	5035
CNN3	2783
OOSP1P1	274
VAV3	7306
HNRNPA1P6	1447
EEF1A1P11	1389
LINC01361	4746
RPS20P5	360
HSPE1P25	251
DPYD	7131
TLCD4	7385
H3P2	395
POU3F1	2965
LRRC8D	4852
S1PR1	5223
MCOLN3	6624
NFU1P2	469
ELAPOR1	9194
ARHGAP29	18370
ST13P21	1098
LINC02790	2804
PGM1	4077
IGSF21	3033
COA7	4148
PFN1P10	327
MAD2L2	3324
DPYD-IT1	401
GYG1P3	994
OLFML3	2821
TRABD2B	7524
GCLM	5426
TGFBR3	8577
CNOT7P2	832
VAV3-AS1	619
RPL21P23	460
ALG14-AS1	1096
MTND3P21	331
ELAVL4-AS1	858
SZT2	26354
LINC01349	497
PHTF1	7170
GSTM5	6067
GSTM2	9116
RRAS2P1	502
RPSAP19	880
BCAS2P2	674
F3	2886
FTH1P22	520
WARS2-IT1	2060
LINC01739	2067
DNAJA1P5	943
RPL22P6	388
VCAM1	6049
HSP90B3P	1567
EPS15-AS1	476
HIPK1	9148
HSD3BP2	1118
PSRC1	2855
LINC01787	1994
SEC63P1	1258
CYP4A27P	190
LINC01708	1045
MTATP6P13	667
LINC02787	231
GPR88	3492
RWDD3	1927
MAN1A2	9667
LRIG2-DT	2467
LPAR3	3536
LINC02868	386
LINC01753	707
DPYD-AS1	1479
CTTNBP2NL	7371
PDE4DIPP5	1270
SORT1	9127
RBMX2P3	957
LINC01676	3120
DNAI3	3923
HIPK1-AS1	3090
LINC01525	858
STRIP1	7344
BCL2L15	9095
TPI1P1	750
SLC25A24	6726
PLPPR5	4699
MYBPHL	1759
PIFO	3949
SLC25A24P1	1882
LINC01650	1183
TSPAN2	3413
GAPDHP23	993
LINC01776	2229
RPL26P9	433
LRIG2	12467
PSMA5	5734
SLC35A3	18235
AGL	8157
SLC6A17	6636
HSD3B2	2277
PTPN22	4497
CHIAP3	1133
COL11A1	9091
RPS3AP12	753
GAPDHP64	1003
RNPC3	6867
SNX7	2067
AP4B1	5847
LINC01709	2862
SARS1	3849
SLC30A7	8600
SLC16A1-AS1	12677
GSTM1	2512
SEC22B	9039
MYSM1	13115
CYP4A44P	154
PTGFRN	6488
HSD3BP1	1111
BCAS2	1289
ZNF326	10988
RNVU1-8	141
TRIM45	4368
RPS26P15	348
NBPF17P	2119
SEPTIN2P1	180
NBPF5P	1606
DPYD-AS2	974
VANGL1	9045
LINC02788	1014
VPS25P1	508
LINC01780	1528
TENT5C	5654
PDZK1	2480
RPL7AP15	795
NBPF25P	3827
LINC01731	420
NBPF8	5961
GAPDHP74	915
VPS45	6637
LINC01397	579
MTND5P20	143
RNF115	11059
SYCP1	4278
PIP5K1A	5405
GDAP2	10487
PRPF3	5408
NEFHP1	2629
DCLRE1B	3868
VDAC2P3	828
FTLP17	525
HYDIN2	17641
HIGD1AP12	281
TSHB	528
POGZ	10301
SOD2P1	562
C1orf54	1270
WDR3	10276
PLEKHO1	6629
LINC02798	4737
PSMC1P12	1314
SLC22A15	5277
SCNM1	3264
FLG	12793
ALX3	1976
RPS15AP9	381
NHLH2	7541
TRIM33	9604
H3P4	416
FLG-AS1	14980
PDE4DIP	27623
CDC14A	6510
CD53	2152
RLIMP2	1563
AP4B1-AS1	1734
APH1A	3473
MTIF2P1	1548
FLG2	9124
SRGAP2C	7335
SPAG17	9828
CIART	2849
SRGAP2-AS1	2649
TTF2	10158
S100A7	486
UBE2WP1	340
PGLYRP4	2273
RPL6P2	783
GATAD2B	9244
SLC6A17-AS1	1660
NPR1	4952
HNRNPA1P43	910
MAGI3	8414
EIF2S2P5	968
PGBP	1358
LINC02586	748
LINC01649	2428
S100A7L2	339
UBL4B	1505
SLC27A3	5470
GABPB2	9189
CA14	3296
AQP10	2292
CD5L	2469
S100A8	891
LINC01761	2755
CDK4P1	828
LINC01768	476
SELENBP1	3476
FMO5	5984
NBPF13P	2090
HAO2-IT1	311
TXNP3	301
GEMIN2P1	752
LINC02772	1647
RPS29P29	171
PDE4DIPP6	3330
S100A9	573
S100A15A	181
ELL2P1	1906
LYSMD1	2508
KCNN3	13599
PFN1P2	1849
ELOCP19	318
VANGL2	5354
PNRC2P1	420
NUP210L	5889
DENND2C	7413
PRR9	1222
TPM3	15156
CD2	1635
LINC02799	408
LINC01661	2185
ALG6	5487
DEPDC1	5904
PKMP1	1523
PPIAP7	489
OR10AE1P	1029
LINC02806	1918
FCGR1B	4234
MRPS21P2	264
ELOCP20	345
NDUFA5P10	357
SMIM42	1015
GPR89A	5561
LORICRIN	1245
C1orf189	674
INTS3	10467
NR1H5P	1377
S100A12	485
GTF2B	2524
MTCO2P21	677
TNFSF4	3963
C1orf226	4313
S100A7A	4458
HNRNPA1P68	979
PFN1P12	534
KCNJ9	4202
CSF1	5238
MTATP6P14	673
NKAIN1P1	582
DHCR24-DT	765
VDAC1P9	841
CGN	6616
LINC02805	6391
TNFAIP8L2	1158
RGS5	9716
UBAP2L	7503
FMO8P	1600
SSBL4P	1241
NAP1L4P1	1157
SEC22B4P	1466
LMX1A-AS1	785
LINC01307	1238
IGSF8	2592
MPC2	2638
LAPTM4BP1	690
TLCD4-RWDD3	1961
SLAMF6	2746
SLC25A24P2	510
FMO11P	1370
LINC00624	5564
CD160	3971
C1orf112	5970
FAM78B	5719
PYHIN1	3484
LAMC1	8446
CD1D	4359
MGST3	8052
S100A7P1	275
CASQ1	2157
FCRL5	12414
NCSTN	4131
FASLG	1805
LINC01701	451
SPATA46	1848
ILF2	2261
TIPRL	3186
NME7	5718
RCSD1	8165
FDPSP1	1071
TNR	12806
SFT2D2	11217
FAM78B-AS1	594
UCK2	6984
PIGM	7038
FAM20B	6046
LINC01720	2216
XCL2	562
RPSAP16	821
QSOX1	9276
LRRC8D-DT	695
POU2F1	16031
CNN2P10	918
KIFAP3	4978
AXDND1	6089
LAMC1-AS1	479
TNR-IT1	630
MTCO1P14	1559
SLC25A38P1	943
TBX15	4344
RPL34P1	354
SUMO1P3	304
CD48	3254
MRPS10P1	130
COPA	7688
RXRG	2691
LINC01657	1809
TPR	12350
ATP1A2	6298
METTL18	1575
RPSAP18	886
SH2D1B	2795
LINC01680	299
CHIA	4643
PRELID1P7	625
CRYZL2P-SEC16B	7841
EXTL2	4015
DCAF8	7605
ANKRD36BP1	1779
KIRREL1	7872
ANP32E	3605
DDX59	4410
NIBAN1	8330
PHBP11	809
LPGAT1-AS1	1580
AKR1D1P1	936
CRYZL2P	5499
WDR82P2	928
RPL5P6	886
LHX4	6085
AGO3	21153
SEC22B3P	576
OR10J5	930
LAMC2	6770
ACTBP11	1126
DDX59-AS1	736
CD58	1784
RPL35AP7	312
MEF2AP1	863
HSPE1P6	291
EEF1A1P14	1376
RGS2	2088
RPS29P4	161
C4BPB	3201
GPA33	2946
XCL1	1227
LINC02818	353
LINC01633	1423
CICP5	2215
NHLH1	2557
SETP9	832
LINC02770	2312
KCNJ10	6252
C4BPA	2470
CFH	7980
SEPTIN7P13	4349
LINC02775	2074
NUF2	3362
TUBB8P9	1276
MFSD4A	5790
TBX19	3810
GCSHP5	522
NR5A2	7543
POU2F1-DT	682
LINC02803	1201
RGS8	6685
SCYL3	6883
DUSP10	2827
KIRREL1-IT1	587
LINC02802	878
QRSL1P1	1540
LINC02768	190
LELP1	536
NMNAT2	6943
CCT8P1	1657
LINC01139	5965
TARBP1	7819
SEPTIN14P21	1474
CREG1	3286
CBX1P3	527
PDE4DIPP2	9444
LY9	9118
TDRD5	4090
ISCUP1	448
SCCPDH	2141
CEP350	14261
IRF6	4971
ELK4	12191
HNRNPA1P46	937
FTH1P2	412
TFB2M	1784
LYPLAL1	2941
MPZL1	7069
INTS7	5326
RPS29P5	171
CATSPERE	4431
TFDP1P1	1224
PRDX6	2311
GGPS1	3809
EDARADD	3996
FMO7P	768
RPL35AP6	322
LINC01655	819
BRINP3	4273
ATP5MC2P1	426
LMX1A	4185
ADCY10	6141
ZNF648	3649
SELE	4586
GPATCH2	8841
SMYD2	4889
FCRL4	3882
SELL	2731
PBX1-AS1	1963
CYCSP5	297
DPT	1719
MTCO1P38	300
LINC01760	382
C4BPAP1	1893
CAPN8	5174
RHOU	3965
TOR3A	3224
FCRL3	6450
SIGLEC30P	941
RPS3AP10	813
RNF2	3906
LINC01696	849
LINC01688	259
KDM5B	24899
CICP21	1838
FCRL2	5058
SPATA17	6515
LINC01354	3244
PRRX1	8248
LINC02257	998
IVNS1ABP	7873
LYPLAL1-AS1	2837
ERLNC1	1536
SNRPEP10	274
C8B	2732
ASTN1	9201
FMO10P	1493
LINC01698	2664
KRT18P32	1287
RIMKLBP2	654
DTL	4923
TRMT1L	4914
LINC02474	1366
HSD11B1	1512
LINC01347	3841
SOAT1	7005
SPATA17-AS1	420
USH2A-AS2	774
BATF3	2569
MIPEPP2	1819
CNST	5933
FTH1P25	469
C4BPAP2	478
SOX13	7420
SRP14P4	203
NID1	5811
LINC01705	1896
BTG2	2757
RPL21P28	483
ADORA2BP1	842
ZNF678	8915
KIF28P	3525
MRPS14	2594
SLC9C2	5123
UBBP2	231
LHX9	10442
UTP25	10411
CHCHD2P5	400
DESI2	4936
SLC26A9	5628
LINC01142	1804
SLC45A3	3752
ILDR2	13946
KIF26B	14404
USH2A-AS1	699
UQCRBP2	297
PRR13P1	408
LINC01675	2028
LINC02815	659
LINC01222	1785
RRP15	7877
OR2L13	2019
TMEM59	9149
LMX1A-AS2	692
LINC01221	662
TTC13	4212
MRPS18BP1	192
LARP7P1	316
ISCA1P2	421
CACYBP	4611
LINC01035	1393
LINC00210	1584
TMCC2-AS1	686
PPP1R12B	21069
PTPN14	18752
LINC02814	3937
FMO9P	2270
CAPN2	8585
NEK2	3095
C1orf53	628
ITLN2	1646
PRELP	5769
RAB4A	3310
ENTR1P2	1023
TOMM20	3438
ST13P19	1124
RASAL2-AS1	3187
MTRNR2L11	1552
TADA1	2900
REN	1749
SLAMF6P1	602
LINC01653	1728
GS1-279B7.1	1205
OR2AK2	1154
HMGB1P11	637
ARV1	2125
LYPD9P	923
LINC00303	1987
LINC01341	4770
TP53BP2	5979
OR2L6P	940
SYT14	13977
DHX9	5898
BTF3L4	5948
TEDDM2P	786
SWT1	4068
FBXO28	6020
CEP170	10939
RPL4P2	1282
COP1	4177
FMOD	3034
CYCSP4	331
OR2L9P	913
TEX35	4007
SLAMF7	4833
RGS18	2801
GNPAT	3261
TGFB2	6050
NUAK2	3391
ODR4	4073
LINC01741	1904
LINC01724	1094
FMO4	2542
PROX1-AS1	10293
RPL22P24	376
UAP1-DT	1082
NSL1	13867
MTCYBP15	1127
HFM1	5814
OR2T32P	1114
ATP1A4	6271
MORF4L1P7	703
MCRIP2P2	209
LINC00538	1906
GALNT2	7712
LINC01132	5083
FMO1	3602
SPRTN	5906
EGLN1	5381
YPEL5P1	367
PP2672	2438
RPL5P5	893
FCRL1	3950
WNT9A	4005
GNG4	5194
TGFB2-OT1	1371
TUBB8P10	1279
LINC00184	2270
C1orf220	2775
QRSL1P2	964
PAPPA2	10926
NPHS2	1874
TSNAX-DISC1	4207
LINC02773	1388
CLPTM1LP1	484
LEMD1-AS1	2781
GOT2P2	1251
LRRN2	5686
PPP2R5A	3942
DDR2	11099
CICP26	2448
OPTC	1434
C1orf100	1151
SUCO	7894
MTND6P15	521
ATF3	4040
RNASEL	6125
OR2L1P	1023
PLXNA2	13845
KRT18P12	1273
SPATA45	506
PLA2G4A	2879
EIF1P3	334
TOP1P1	661
RPS3AP9	792
LINC02869	1242
ETNK2	4513
HES2	5407
SHCBP1L	2982
RPL23AP22	453
TRAF3IP3	7750
RPL10AP5	634
SEPTIN14P17	177
LPGAT1	8790
PROX1	8936
RPL23AP18	468
LINC01351	607
DUTP6	462
PFKFB2	10176
SNRPD2P2	333
NENF	1264
PTP4A1P7	514
LINC01740	332
TATDN3	3992
HMGN1P4	290
MTND5P18	1801
SELP	3490
SLC4A1APP2	1259
RSL24D1P4	484
PTPRC	9168
BPNT2P1	668
CAMK1G	3328
ZNF672	3741
UAP1	3437
UHMK1	9248
LINC02771	873
LINC01735	2399
C1orf74	4684
LAMB3	4647
DSTYK	8475
LEMD1	1041
LINC01710	834
IPO8P1	3109
AHCYP8	209
ARHGEF10L	7954
TSNAX	6353
TBCE	15396
LINC01138	7757
RPS27AP5	522
LINC02769	285
NOS1AP	7854
FAM71A	2302
RNPEP	3455
ANGEL2	7317
ITLN1	1492
KIAA0040	4767
RGSL1	9063
G0S2	876
DISC1-IT1	762
LINC01346	5054
RPS26P13	330
EXOC8	5100
BLACAT1	6731
GAPDHP75	943
RGS16	2408
CCNQP1	645
BRINP2	4492
KCNH1-IT1	626
NEK7	5454
PGBD5	11257
COX5BP8	349
ANKRD45	4125
SYT2	7811
ZNF695	3756
SMYD3-IT1	361
CLEC20A	3368
LINC02789	2296
YWHAQP9	512
RPS6KC1	6191
KRT18P28	1332
TMCC2	5822
PM20D1	2611
LINC01686	1376
TGIF2P1	685
RPL23AP16	421
ZNF670-ZNF695	3197
NUP133	6081
MTARC2	2597
LINC01717	1666
LINC01704	2071
PRELID1P5	659
LINC01743	964
RGS21	1794
RCC2-AS1	311
RGS1	4074
RGS5-AS1	2633
LINC01774	595
PYHIN5P	723
AIM2	1874
ABL2	16689
PGBD2	3651
PPIAP37	493
PRKAB2	5460
RAC1P7	377
FLVCR1	6422
LEMD1-DT	2885
SLC41A1	6378
USH2A	20633
LINC02817	4533
RPL23AP25	463
RPL31P13	370
LINC01344	6663
SMYD3-AS1	940
ZNF670	4197
ADSS2	3441
PLD5	9546
NXNP1	1051
ELF3-AS1	5569
BANF1P4	270
LMOD1	3967
ACBD6	7512
KCNH1	9797
ST7L	8108
SLC35F3-AS1	388
RBBP5	4404
XPR1	8913
SNRPGP10	225
LINC01699	259
RPSAP20	890
CHCHD4P5	427
KIF14	7294
RPS7P3	580
STYXL2	4274
COLGALT2	7806
LYPD8	1162
GAPDHP29	985
PCNX2	13827
CNIH3	6367
PDIA3P1	3328
UBE2V1P13	439
SDCCAG8	5321
CELSR2	12830
HNRNPA1P54	9714
SLC35F3	3447
DPY19L4P1	2158
LYST-AS1	521
ZNF281	4895
VDAC1P4	835
MAEL	3148
RABGAP1L-AS1	975
ARID4B	11073
TMEM78	2175
SH3BP5L	5724
WNT2B	12374
RABGAP1L-DT	7845
SETP10	814
LDHAP2	985
GEMIN8P4	729
PEBP1P3	548
NUCKS1	6449
MAP3K21	7960
FYB2	4648
TIMM17A	3504
CDC7	3599
TEX50	812
COX20	4570
NDUFAF4P4	502
RABGAP1L-IT1	737
LINC01691	426
TSEN15P2	358
LINC01363	1929
SERTAD4-AS1	1004
GPR52	1582
RPL10P4	308
FEN1P1	1145
SMYD3	5866
KLHL20	4244
EIF4A1P11	222
HAX1	2077
NTPCR	15854
HMGB3P6	598
ABHD17AP3	1137
RAB29	3904
C8A	2367
LINC01681	2796
SERTAD4	5470
OVAAL	2213
KCTD3	5017
BMP8B-AS1	1218
LINC01682	2666
ZC3H12A	3091
RAD1P2	663
HHAT	6645
CD244	2889
CR2	4885
RBM34	2939
RPL23AP23	471
KCNK1	3527
TEDDM1	2551
NMNAT1P2	860
CLCA2	4406
LINC00272	740
VDAC1P10	891
LINC02786	1562
PFN1P8	543
LINC00582	597
HNRNPU	22512
GAPDHP24	983
LINC01677	3122
HMCN1	18739
LINC01350	2404
PDC-AS1	6997
PDC	1331
MIR6859-2	68
U6	2952
MIR6808	59
RNU1-8P	165
MIR4689	70
RN7SL451P	299
RN7SKP269	319
Y_RNA	78876
MIR5697	78
RNU6-291P	107
MIR4252	63
RN7SL614P	280
RNU6-304P	107
RNU6-1072P	107
MIR6728	89
RNU6-771P	107
SNORA59A	152
RNU6-1265P	103
MIR6726	61
MIR551A	96
SNORA70	3338
RNU7-179P	68
RNU1-7P	164
RNU6ATAC18P	101
MIR6730	67
MIR6727	65
MIR4253	68
RNU4-28P	141
RNU6-1208P	107
RNA5SP40	110
MIR4695	74
MIR1290	78
MIR34A	110
MIR6731	72
RN7SL679P	304
RNU6-110P	104
RN7SKP91	288
RNU6-48P	107
RN7SL371P	267
SCARNA21B	140
MIR4425	84
RNU6-176P	105
MIR552	96
MIR4420	77
SNORA63	839
RNU6-584P	95
RNU6-605P	108
MIR4255	72
RNU6-636P	107
RNA5SP43	110
MIR1976	52
RNU7-29P	64
MIR3659	99
RNU6-510P	108
RNU6-753P	107
RN7SL290P	300
RNA5SP46	120
Metazoa_SRP	47946
MIR6732	60
MIR6733	61
RNU2-30P	141
RNU6-969P	105
RNU6-1237P	107
RNU6-1026P	108
MIR6079	62
MIR5581	60
RNU6-40P	107
MIR4422	83
RNU7-62P	62
RNU6-414P	104
RNU6-1177P	104
RN7SL180P	294
MIR3116-1	74
MIR3116-2	68
RN7SL713P	302
RN7SL122P	301
RNU6-161P	106
RN7SKP19	252
RNU6-371P	108
RNU2-15P	191
RNU7-80P	61
RNU6-622P	103
RNU4-88P	86
RNA5SP23	105
MIR7156	60
RN7SL62P	297
RNU6-503P	105
RNA5SP20	84
RN7SL854P	295
RNA5SP21	96
MIR4781	76
RNU6-1102P	96
RNU7-8P	62
RN7SL370P	295
RNA5SP22	109
RNA5SP52	134
MIR4423	80
SNORD3G	215
MIR6068	60
RNA5SP50	107
RN7SL392P	299
RNU6-1246P	107
RNA5SP51	119
MIR2682	110
RNA5SP48	126
RN7SL440P	343
RN7SL488P	286
MIR4794	77
RNU6-1176P	107
RN7SL583P	287
MIR137	102
RNU7-123P	60
MIR3671	88
MIR30E	92
RNU6-750P	107
MIR101-1	75
MIR30C1	89
RNU6-125P	107
RNU6-1318P	103
